CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
40380164,CUCHIFRITOS,Bronx,158,E. 188 TH ST,,7183674500,Spanish,01/07/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,11,A,01/07/2025,03/08/2025,Cycle Inspection / Initial Inspection,0,0,,,,,2,,
50142310,SHAHI DHABA,Queens,23603,BRADDOCK AVE,11426,7189711098,Indian,03/05/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,26,,,03/08/2025,Cycle Inspection / Initial Inspection,40.727377876292,-73.731373538843,413,23,162100,4167434,4079840045,QN43,
50139043,EMPANADAS RD,Bronx,250,EAST  204 STREET,10458,9175300012,Spanish,01/08/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25,,,03/08/2025,Cycle Inspection / Initial Inspection,40.874146065435,-73.884304322497,207,11,041300,2017282,2033090054,BX05,
50140390,PATIALA GRILL,Manhattan,240,WEST   35 STREET,10001,9176002929,Indian,01/08/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,01/08/2025,03/08/2025,Cycle Inspection / Re-inspection,40.752164413748,-73.991377396662,105,03,010900,1014415,1007840064,MN17,
50116389,GABY'S PIZZERIA & RESTAURANT,Queens,9535,SUTPHIN BLVD,11435,9293897920,Spanish,01/09/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,60,,,03/08/2025,Cycle Inspection / Initial Inspection,40.698209235259,-73.806331003022,412,28,020800,4214517,4100270027,QN61,
50121194,AMANECER RESTAURANT AND LOUNGE,Manhattan,3666,BROADWAY,10031,4013905278,Spanish,01/06/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,01/06/2025,03/08/2025,Cycle Inspection / Initial Inspection,40.830498875755,-73.947462452842,109,07,023700,1062176,1020830001,MN04,
50118559,LA PERLA DE ORIENTE,Queens,20401,JAMAICA AVE,11423,3476180399,Spanish,02/12/2025,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,13,A,02/12/2025,03/08/2025,Cycle Inspection / Initial Inspection,40.71349761807,-73.755976742665,412,23,048400,4222757,4104770013,QN07,
50008666,DELEON BAKERY & RESTAURANT,Queens,18-58,CORNAGA AVENUE,11691,5162330098,Spanish,01/27/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,9,A,01/27/2025,03/08/2025,Cycle Inspection / Re-inspection,40.602284729742,-73.751101860243,414,31,101001,4518605,4155600054,QN15,
50117942,JUST SALAD,Manhattan,55,BROADWAY,10006,2122441111,Salads,01/09/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,26,,,03/08/2025,Cycle Inspection / Initial Inspection,40.706631127508,-74.012631080595,101,01,001300,1000807,1000200016,MN25,
50155479,LA GRAN PARADA,Manhattan,4221,BROADWAY,10033,2127400700,Spanish,02/24/2025,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,49,N,,03/08/2025,Pre-permit (Operational) / Initial Inspection,40.849028811692,-73.936976348703,112,10,026500,1064270,1021760054,MN36,
